frame,type,x,y
9722,Alien3,460,0
9780,Alien3,140,0
9782,Alien1,420,0
9840,Alien1,200,0
9842,Alien2,480,0
9960,Alien2,80,0
9962,Alien3,280,0
9964,Alien1,480,0
10020,Alien3,160,0
10022,Alien1,440,0
10080,Alien1,240,0
10140,Alien3,120,0
10142,Alien2,520,0
10380,Alien2,140,0
10382,Alien1,380,0
10440,Alien1,100,0
10442,Alien3,340,0
10500,Alien3,180,0
10502,Alien1,460,0
10560,Alien2,160,0
10562,Alien3,400,0
10680,Alien1,120,0
10682,Alien3,360,0
10740,Alien3,200,0
10742,Alien1,480,0
10800,Alien2,80,0
10802,Alien1,280,0
10804,Alien3,480,0
10860,Alien1,160,0
10862,Alien1,440,0
11100,Alien3,140,0
11102,Alien1,380,0
11160,Alien1,100,0
11162,Alien3,340,0
11220,Alien2,180,0
11222,Alien3,460,0
11280,Alien3,120,0
11282,Alien1,360,0
11400,Alien1,200,0
11402,Alien1,480,0
11460,Alien2,160,0
11462,Alien2,440,0
11520,Alien3,80,0
11522,Alien2,280,0
11524,Alien1,480,0
11580,Alien1,140,0
11582,Alien2,420,0
11820,Alien2,120,0
11822,Alien1,360,0
11880,Alien1,180,0
11882,Alien3,460,0
11940,Alien3,160,0
11942,Alien2,400,0
12000,Alien2,140,0
12002,Alien1,380,0
12120,Alien1,100,0
12122,Alien3,340,0
12180,Alien3,200,0
12182,Alien1,480,0
12240,Alien2,80,0
12242,Alien3,280,0
12244,Alien1,480,0
12300,Alien3,160,0
12302,Alien1,440,0
12540,Alien1,120,0
12542,Alien2,360,0
12600,Alien2,180,0
12602,Alien3,460,0
12660,Alien3,140,0
12662,Alien1,420,0
12720,Alien1,200,0
12722,Alien2,480,0
12840,Alien2,100,0
12842,Alien3,340,0
12900,Alien3,160,0
12902,Alien1,440,0
12960,Alien1,240,0
13020,Alien3,120,0
13022,Alien2,520,0
13140,PowerUp-SpeedUp,220,0
13260,Alien2,140,0
13262,Alien1,380,0
13320,Alien1,80,0
13322,Alien3,320,0
13324,Alien2,560,0
13380,Alien3,180,0
13382,Alien2,460,0
13440,Alien2,160,0
13442,Alien1,440,0
13560,Alien1,120,0
13562,Alien3,360,0
13620,Alien3,200,0
13622,Alien1,480,0
13680,Alien2,100,0
13682,Alien3,420,0
13740,Alien1,180,0
13800,Alien3,140,0
13802,Alien2,460,0
13860,PowerUp-MultiShot,300,0
13980,Alien2,120,0
13982,Alien1,360,0
14040,Alien1,200,0
14042,Alien3,480,0
14100,Alien3,160,0
14102,Alien2,400,0
14160,Alien2,140,0
14162,Alien1,380,0
14280,Alien1,100,0
14282,Alien3,340,0
14340,Alien3,180,0
14342,Alien1,460,0
14400,Alien2,160,0
14402,Alien3,440,0
14460,Alien1,240,0
14700,Alien3,120,0
14702,Alien1,360,0
14760,Alien1,180,0
14762,Alien1,460,0
14820,Alien2,140,0
14822,Alien1,420,0
14880,Alien3,200,0
14882,Alien1,480,0
15000,Alien1,80,0
15002,Alien3,280,0
15004,Alien2,480,0
15060,Alien2,160,0
15062,Alien2,440,0
15120,Alien3,240,0
15180,Alien1,120,0
15182,Alien2,520,0
15420,Alien2,140,0
15422,Alien3,380,0
15480,Alien3,100,0
15482,Alien1,340,0
15540,Alien1,180,0
15542,Alien1,460,0
15600,Alien2,160,0
15602,Alien1,400,0
15720,Alien3,120,0
15722,Alien2,360,0
15780,Alien1,200,0
15782,Alien1,480,0
15840,Alien2,80,0
15842,Alien1,280,0
15844,Alien3,480,0
15900,Alien3,160,0
15902,Alien1,440,0
16020,PowerUp-SpeedUp,280,0
16140,Alien1,140,0
16142,Alien2,380,0
16200,Alien2,100,0
16202,Alien3,340,0
16260,Alien3,180,0
16262,Alien2,460,0
16320,Alien1,160,0
16322,Alien2,400,0
16440,Alien2,120,0
16442,Alien3,360,0
16500,Alien3,200,0
16502,Alien1,480,0
16560,Alien1,80,0
16562,Alien3,280,0
16564,Alien2,480,0
16620,Alien3,160,0
16622,Alien2,440,0
16680,Alien2,240,0
16740,Alien1,120,0
16742,Alien3,520,0
16860,Alien3,180,0
16920,Alien2,140,0
16922,Alien1,460,0
16980,Alien1,220,0
17040,Alien3,160,0
17042,Alien1,400,0
17100,Alien2,200,0
17102,Alien1,480,0
17160,Alien1,120,0
17162,Alien3,400,0
17220,Alien3,180,0
17222,Alien2,460,0
17280,Alien2,240,0
17340,Alien1,100,0
17342,Alien3,340,0
17400,Alien3,160,0
17402,Alien1,440,0
17460,Alien2,200,0
17520,Alien3,140,0
17522,Alien1,420,0
17580,Alien1,180,0
17582,Alien2,460,0
17640,Alien2,120,0
17642,Alien3,360,0
17700,Alien3,200,0
17702,Alien2,480,0
17760,Alien1,160,0
17762,Alien3,440,0
17820,Alien2,240,0
17880,Alien3,120,0
17882,Alien1,480,0
